xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionBlocks.thisTrial,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,auctionTrials.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,EndingSSD,key_resp_4.keys,key_resp_4.rt,expName,gender (m/f),age,frameRate,session,date,participant,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.368036031723,0.504344940186,0.000947952270508,,,,,,,,,,,,,,,,,,,1.17,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,s,1,0.384566068649,0.51056098938,0.000895023345947,,,,,,,,,,,,,,,,,,,2.09,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,2,6,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,a,1,0.450772047043,0.506703138351,0.000883102416992,,,,,,,,,,,,,,,,,,,1.24,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,1,3,7,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.317317008972,0.515869855881,0.000890016555786,,,,,,,,,,,,,,,,,,,3.95,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,1,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,2,0,8,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.384547948837,0.508156061172,0.000903129577637,,,,,,,,,,,,,,,,,,,0.87,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,2,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,2,1,9,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.400884866714,0.500150918961,0.000881910324097,,,,,,,,,,,,,,,,,,,1.12,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,2,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,2,2,10,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.434991121292,0.510504007339,0.000925064086914,,,,,,,,,,,,,,,,,,,0.76,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,2,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,2,3,11,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.417965888977,0.500304937363,0.000893115997314,,,,,,,,,,,,,,,,,,,1.04,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,2,3,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,3,0,12,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,s,1,0.400686979294,0.512368917465,0.000886917114258,,,,,,,,,,,,,,,,,,,0.98,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,3,0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,3,1,13,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,s,1,0.451060056686,0.503927946091,0.000961065292358,,,,,,,,,,,,,,,,,,,0.65,,,,LearningTask,,,59.9366095543,1,2015_May_26_1118,1,
