xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
-200,t,200,,,,,,,,,0,0,0,0,None,8,0,32,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,8,1,33,2,0,0,0,0,None,,,h,1,0.467888116837,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,8,1,33,2,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,8,2,34,1,0,0,0,0,None,,,t,1,0.417611122131,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,8,2,34,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,8,3,35,2,0,0,0,0,None,,,h,1,0.334398984909,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,8,3,35,2,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,9,0,36,3,0,0,0,0,None,,,g,1,0.45095205307,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,9,0,36,3,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,9,1,37,0,0,0,0,0,None,,,y,1,0.367868900299,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,9,1,37,0,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,9,2,38,0,0,0,0,0,None,,,None,0,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,9,2,38,0,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,9,3,39,0,0,0,0,0,None,,,None,0,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
