xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,goResp.rt,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,key_resp_7.keys,key_resp_7.rt,EndingSSD,expName,gender (m/f),age,frameRate,session,date,participant,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,4,0,4,0,None,,,,,,,,,,,,123.48706913,None,0,,0.514756917953,0.00178194046021,126.486399174,,,,,,,,,,,,,,,,,,,0.52,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,0,0,0,0,None,,,,,,,,,,,,126.67379117,None,0,,0.511846780777,0.000911951065063,129.670092106,,,,,,,,,,,,,,,,,,,0.83,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,1,0,1,0,None,,,,,,,,,,,,129.671077013,None,0,,0.514830112457,0.00157022476196,132.670610189,,,,,,,,,,,,,,,,,,,1.2,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,2,0,2,0,None,,,,,,,,,,,,132.67159605,None,0,,0.514691114426,0.00178217887878,135.671444178,,,,,,,,,,,,,,,,,,,1.04,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,3,0,3,0,None,,,,,,,,,,,,135.672617197,None,0,,0.514513015747,0.00126314163208,138.671399117,,,,,,,,,,,,,,,,,,,1.13,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,4,0,4,0,None,,,,,,,,,,,,138.67238903,None,0,,0.514962911606,0.00153779983521,141.671552181,,,,,,,,,,,,,,,,,,,1.06,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,3,0,0,0,0,None,,,,,,,,,,,,141.869052172,None,0,,0.502213954926,0.000938177108765,144.872205973,,,,,,,,,,,,,,,,,,,1.17,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,3,1,0,1,0,None,,,,,,,,,,,,144.873201132,None,0,,0.515222787857,0.00178480148315,147.872543097,,,,,,,,,,,,,,,,,,,0.77,,,,LearningTask,,,59.988729687,3,2015_May_27_1654,6,
