xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,1,49,1,1,0,1,0,None,,,328.477655888,None,0,,None,0.515617847443,0.00135588645935,331.478959084,,,,,,,,,,,,,,,,,,,,,,0.83,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,1,49,1,2,0,2,0,None,,,331.479551077,None,0,,None,0.515823841095,0.00122690200806,334.481645107,,,,,,,,,,,,,,,,,,,,,,0.94,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,1,49,1,3,0,3,0,None,,,334.482317924,None,0,,None,0.515736818314,0.00154590606689,337.484009981,,,,,,,,,,,,,,,,,,,,,,1.02,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,1,49,1,4,0,4,0,None,,,337.484598875,None,0,,None,0.515923976898,0.001060962677,340.486210108,,,,,,,,,,,,,,,,,,,,,,0.94,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,1,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,2,50,0,0,0,0,0,None,,,341.179616928,None,0,,None,0.507236003876,0.000902891159058,344.172605991,,,,,,,,,,,,,,,,,,,,341.1782341,341.178418875,0.62,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,2,50,0,1,0,1,0,None,,,344.173130035,None,0,,None,0.516129970551,0.00105094909668,347.174987078,,,,,,,,,,,,,,,,,,,,,,0.65,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,2,50,0,2,0,2,0,None,,,347.175592899,None,0,,None,0.515892028809,0.00128388404846,350.177386999,,,,,,,,,,,,,,,,,,,,,,0.53,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,2,50,0,3,0,3,0,None,,,350.177884102,None,0,,None,0.516023159027,0.000997066497803,353.17967701,,,,,,,,,,,,,,,,,,,,,,0.42,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,2,50,0,4,0,4,0,None,,,353.180291891,None,0,,None,0.516039848328,0.00117087364197,356.182035923,,,,,,,,,,,,,,,,,,,,,,0.51,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,2,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,3,51,0,0,0,0,0,None,,,356.811897039,None,0,,None,0.503649950027,0.00111603736877,359.801773071,,,,,,,,,,,,,,,,,,,,356.810276985,356.810473919,4.13,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,3,51,0,1,0,1,0,None,,,359.802360058,None,0,,None,0.515769004822,0.00157380104065,362.804032087,,,,,,,,,,,,,,,,,,,,,,3.85,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,3,51,0,2,0,2,0,None,,,362.804615974,None,0,,None,0.515876054764,0.00116109848022,365.806519985,,,,,,,,,,,,,,,,,,,,,,3.99,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,3,51,0,3,0,3,0,None,,,365.807101011,None,0,,None,0.515768051147,0.0015811920166,368.808862925,,,,,,,,,,,,,,,,,,,,,,4.21,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,3,51,0,4,0,4,0,None,,,368.809444904,None,0,,None,0.515907049179,0.00121808052063,371.811192036,,,,,,,,,,,,,,,,,,,,,,3.82,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,12,3,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,0,52,3,0,0,0,0,None,,,372.510906935,None,0,,None,0.501015901566,0.0011157989502,375.514077902,,,,,,,,,,,,,,,,,,,,372.509309053,372.509505033,4.22,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,0,52,3,1,0,1,0,None,,,375.51452589,None,0,,None,0.516175031662,0.00115394592285,378.516740084,,,,,,,,,,,,,,,,,,,,,,3.99,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,0,52,3,2,0,2,0,None,,,378.517361879,None,0,,None,0.515661001205,0.00133991241455,381.518802881,,,,,,,,,,,,,,,,,,,,,,4.19,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,0,52,3,3,0,3,0,None,,,381.519424915,None,0,,None,0.515825033188,0.00124216079712,384.521414995,,,,,,,,,,,,,,,,,,,,,,4.06,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,0,52,3,4,0,4,0,None,,,384.522005081,None,0,,None,0.515762805939,0.00136590003967,387.52382803,,,,,,,,,,,,,,,,,,,,,,4.0,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,0,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,1,53,0,0,0,0,0,None,,,388.179213047,None,0,,None,0.511724948883,0.00145792961121,391.176492929,,,,,,,,,,,,,,,,,,,,388.17779088,388.178013086,1.02,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,1,53,0,1,0,1,0,None,,,391.17698288,None,0,,None,0.516149044037,0.000990867614746,394.178992987,,,,,,,,,,,,,,,,,,,,,,0.91,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,1,53,0,2,0,2,0,None,,,394.1796,None,0,,None,0.516010046005,0.0013370513916,397.181490898,,,,,,,,,,,,,,,,,,,,,,0.75,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,1,53,0,3,0,3,0,None,,,397.182087898,None,0,,None,0.515861988068,0.00114297866821,400.184034109,,,,,,,,,,,,,,,,,,,,,,0.81,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,1,53,0,4,0,4,0,None,,,400.184639931,None,0,,None,0.515641927719,0.00157499313354,403.1864779,,,,,,,,,,,,,,,,,,,,,,1.15,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,1,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,2,54,3,0,0,0,0,None,,,403.912357092,None,0,,None,0.50775718689,0.000956058502197,406.905906916,,,,,,,,,,,,,,,,,,,,403.91088891,403.911083937,1.94,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,13,2,54,3,1,0,1,0,None,,,406.906527042,None,0,,None,0.515480041504,0.00165009498596,409.908143997,,,,,,,,,,,,,,,,,,,,,,2.15,LearningTask,,,59.8157454892,3,2015_Jun_02_0948,15,
