xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,computedRewardOutput,learningStimOnset,learningFixOnset,EndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,expName,gender (m/f),age,frameRate,session,date,participant,
200,w,200,,,,,,,,,0,0,0,0,15,3,63,0,,,,,210.511505127,210.511813164,210.512212038,None,0,,None,0.61,0.514367103577,0.00141501426697,213.51265502,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,16,0,64,3,,,,,213.513486147,213.513697147,213.513968945,None,0,,None,3.82,0.515257835388,0.00121188163757,216.514676094,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,16,1,65,2,,,,,216.515500069,216.515774965,216.516046047,None,0,,None,0.52,0.515120029449,0.00161600112915,219.517475128,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,16,2,66,1,,,,,219.518424988,219.518635035,219.518908024,None,0,,None,2.23,0.514747858047,0.00160503387451,222.520192146,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,16,3,67,2,,,,,222.521064997,222.521319151,222.521589994,None,0,,None,1.16,0.514696121216,0.00159502029419,225.522123098,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,17,0,68,2,,,,,225.523057938,225.523266077,225.523535967,None,0,,None,0.84,0.515030145645,0.00144410133362,228.524460077,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,17,1,69,3,,,,,228.525333166,228.525541067,228.525846004,None,0,,None,0.38,0.515357017517,0.00124287605286,231.526947021,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,17,2,70,3,,,,,231.527848005,231.528058052,231.52839303,None,0,,None,0.33,0.514920949936,0.00126194953918,234.529538155,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,a,-200,,,,,,,,,0,0,0,0,17,3,71,3,,,,,234.530733109,234.53104496,234.531442165,None,0,,None,4.09,0.514248132706,0.00162696838379,237.531861067,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,18,0,72,1,,,,,237.532773018,237.533019066,237.533309937,None,0,,None,1.99,0.514937162399,0.00125122070312,240.534193993,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,18,1,73,1,,,,,240.535083055,240.535326004,240.53559804,None,0,,None,3.8,0.514871120453,0.0014910697937,243.536322117,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,18,2,74,1,,,,,243.537153959,243.537429094,243.537822962,None,0,,None,0.51,0.514988183975,0.00123715400696,246.539016962,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
200,s,-200,,,,,,,,,0,0,0,0,18,3,75,2,,,,,246.53994298,246.540154934,246.540429115,None,0,,None,1.0,0.515024900436,0.00172996520996,249.541291952,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
-200,q,200,,,,,,,,,0,0,0,0,19,0,76,1,,,,,249.542132139,249.542422056,249.542828083,None,0,,None,3.8,0.514665126801,0.00171995162964,252.543652058,,,LearningTask,,,59.9322417521,3,2015_Jun_02_1026,17,
