StopOrGo,Amount,Shape,Color,StopOrGoAndAmountLoop.thisRepN,StopOrGoAndAmountLoop.thisTrialN,StopOrGoAndAmountLoop.thisN,StopOrGoAndAmountLoop.thisIndex,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,expName,gender (m/f),age,frameRate,session,date,participant,
Go,2,circle,gray,0,0,0,5,0,1,1,7,3,2,26,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,cyan,0,0,0,5,0,1,1,7,3,3,27,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,orange,0,0,0,5,0,1,1,7,3,4,28,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,white,0,0,0,5,0,1,1,7,3,5,29,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,blue,0,0,0,5,0,1,1,7,3,6,30,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,yellow,0,0,0,5,0,1,1,7,3,7,31,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,green,0,0,0,5,0,1,1,7,4,0,32,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,white,0,0,0,5,0,1,1,7,4,1,33,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,blue,0,0,0,5,0,1,1,7,4,2,34,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,magenta,0,0,0,5,0,1,1,7,4,3,35,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,cyan,0,0,0,5,0,1,1,7,4,4,36,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
