xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,EndTrialTimeStamp,,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,1,1,3,1,0,1,0,None,,,a,1,0.250664949,0.516558886,0.001041889,89.49070811,2.269000053,,,,,,,,,,,,,,,,,,,0.69,LearningTask,,,59.97251816,3,2015_May_27_1545,4
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,2,2,2,0,0,0,0,None,,,None,0,,0.500570059,0.001034975,92.67603016,3.185322046,,,,,,,,,,,,,,,,,,,2.17,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,2,2,2,1,0,1,0,None,,,w,0,0.21735096,0.516551971,0.000970125,94.91131306,2.235282898,,,,,,,,,,,,,,,,,,,1.9,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,2,2,2,2,0,2,0,None,,,w,0,0.350821972,0.516062975,0.000957012,97.27993917,2.368626118,,,,,,,,,,,,,,,,,,,1.99,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,2,2,2,3,0,3,0,None,,,w,0,0.184256792,0.516309023,0.001216173,99.48168612,2.201746941,,,,,,,,,,,,,,,,,,,2.16,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,2,2,2,4,0,4,0,None,,,w,0,0.334192991,0.516211033,0.001042128,101.8339932,2.352307081,,,,,,,,,,,,,,,,,,,2.2,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,3,3,0,0,0,0,0,None,,,s,0,0.667714834,0.504004955,0.000957012,104.7030051,2.869011879,,,,,,,,,,,,,,,,,,,1.07,LearningTask,,,59.97251816,3,2015_May_27_1545,4
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,3,3,0,1,0,1,0,None,,,s,0,0.267205954,0.516113043,0.001144886,106.9879441,2.284939051,,,,,,,,,,,,,,,,,,,0.95,LearningTask,,,59.97251816,3,2015_May_27_1545,4
