xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,FeedbackOffTimestamp,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,goResp.rt,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,3,3,1,0,0,0,0,None,,,None,0,,0.500957965851,0.00098991394043,,<psychopy.clock.Clock instance at 0x1d765968>,,,,,,,,,,,,,,,,,,,0.26,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,3,3,1,1,0,1,0,None,,,q,1,0.201888084412,0.516407966614,0.00102615356445,,<psychopy.clock.Clock instance at 0x1d939be8>,,,,,,,,,,,,,,,,,,,0.47,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,0,4,0,0,0,0,0,None,,,w,1,0.384008169174,0.500604152679,0.00101113319397,,<psychopy.clock.Clock instance at 0x1d939af8>,,,,,,,,,,,,,,,,,,,0.33,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,1,5,1,0,0,0,0,None,,,q,1,0.434208869934,0.508676052094,0.000964879989624,,<psychopy.clock.Clock instance at 0x1bbc0030>,,,,,,,,,,,,,,,,,,,0.27,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,2,6,1,0,0,0,0,None,,,q,1,0.50118803978,0.50917506218,0.000992059707642,,<psychopy.clock.Clock instance at 0x1bac40f8>,,,,,,,,,,,,,,,,,,,0.77,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,3,7,3,0,0,0,0,None,,,a,1,0.417500972748,0.506567955017,0.00100088119507,,<psychopy.clock.Clock instance at 0x1bac4d28>,,,,,,,,,,,,,,,,,,,1.98,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9721751564,3,2015_May_27_1532,1,
