xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,learningStimOnset,learningFixOnset,EndTrialTimeStamp,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,key_resp_9.keys,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,NewStimTimeStamp,EndNewStimTimeStamp,expName,gender (m/f),age,frameRate,session,date,participant,
-200,q,200,,,,0,9,9,1,3,0,3,0,None,,,,,,,,,,,,,,,,121.569256067,None,0,,None,0.516219139099,0.00112414360046,124.571076155,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,9,9,1,4,0,4,0,None,,,,,,,,,,,,,,,,124.571671009,None,0,,None,0.516149997711,0.00200796127319,127.57349515,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
-200,q,200,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,m,0,200,,,,,,,,,,0,0,0,1,,,,,,,,,,,,131.383662939,,,,,,,134.379979134,-1,go,crossorange.gif,None,0,None,1,0,0,0,0,1,0,0.00192093849182,0.508841991425,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,m,0,200,,,,,,,,,,0,1,1,1,,,,,,,,,,,,134.380680084,,,,,,,137.382483959,0.25,stop,triangleyellow.gif,None,0,None,1,0,0,1,1,1,0,0.00257992744446,0.5143430233,0.764575004578,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,z,0,-200,,,,,,,,,,1,0,2,0,,,,,,,,,,,,137.383079052,,,,,,,140.384907007,-1,go,crossorange.gif,None,0,None,2,0,0,1,1,2,0,0.00107789039612,0.514643907547,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,z,0,-200,,,,,,,,,,1,1,3,0,,,,,,,,,,,,140.385556936,,,,,,,143.387071133,0.25,stop,squareblue.gif,None,0,None,2,0,0,2,2,2,0,0.00130391120911,0.514029979706,0.764282941818,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,z,0,-200,,,,,,,,,,2,0,4,0,,,,,,,,,,,,143.387742043,,,,,,,146.389747143,-1,go,hexagongreen.gif,None,0,None,3,0,0,2,2,3,0,0.00157594680786,0.514621019363,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,m,0,200,,,,,,,,,,2,1,5,1,,,,,,,,,,,,146.390382051,,,,,,,149.391961098,0.25,stop,invertedtrianglecyan.gif,None,0,None,3,0,0,3,3,3,0,0.00146818161011,0.514352083206,0.764540195465,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,z,0,-200,,,,,,,,,,3,0,6,0,,,,,,,,,,,,149.392573118,,,,,,,152.394403934,0.25,stop,diamondwhite.gif,None,0,None,3,0,0,4,4,3,0,0.00116920471191,0.514543056488,0.764815092087,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,m,0,200,,,,,,,,,,3,1,7,1,,,,,,,,,,,,152.395060062,,,,,,,155.396733999,-1,go,hexagongreen.gif,None,0,None,4,0,0,4,4,4,0,0.00117492675781,0.514410972595,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,z,0,-200,,,,,,,,,,4,0,8,0,,,,,,,,,,,,155.397562981,,,,,,,158.398708105,-1,go,hexagongreen.gif,None,0,None,5,0,0,4,4,5,0,0.00127291679382,0.514446973801,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,m,0,200,,,,,,,,,,4,1,9,1,,,,,,,,,,,,158.39934516,,,,,,,161.401355028,-1,go,circlemagenta.gif,None,0,None,6,0,0,4,4,6,0,0.00120806694031,0.514569044113,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.38246202469,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.682559967041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9966241829,3,2015_Jun_02_1022,16,
