xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,feedbackResp.rt,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,fourthComputedRewardOutput,fourthLearningStimOnset,fourthLearningFixOnset,fourthPresentationRT,fourthPresentationAcc,fourthPresentationResp,fourthEndTrialTimeStamp,fifthComputedRewardOutput,fifthLearningStimOnset,fifthLearningFixOnset,fifthPresentationRT,fifthPresentationAcc,fifthPresentationResp,fifthEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,24,3,99,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.650938987732,None,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,0,0.511794805527,0.00125098228455,0.650938987732,1,w,468.939477205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4.87157011032,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.500633001328,None,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.505482912064,0.00118589401245,0.500633001328,1,w,477.607949018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,a,1,0.483961105347,None,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.511110067368,0.00119018554688,0.483961105347,1,a,480.606932163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,s,1,0.40038394928,None,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.09,0.512229919434,0.00120711326599,0.40038394928,1,s,483.60714221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,s,1,0.484280109406,None,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.18,0.511558055878,0.00117492675781,0.484280109406,1,s,486.60732317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,s,1,0.317443132401,None,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,2.18,0.511704921722,0.00118803977966,[],0,None,489.607547045,0.61,0.51390004158,0.00121402740479,0.317443132401,1,s,492.607496023,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,1,1,5,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.417747974396,q,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.512474060059,0.00107598304749,[],0,None,495.607068062,3.9,0.514845848083,0.000958919525146,0.417747974396,1,w,498.608832121,0.54256606102,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,1,2,6,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.467509031296,None,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.13,0.511645078659,0.00115895271301,0.467509031296,1,w,501.607256174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,1,3,7,0,,,,,,,,,,,,,,,,,,,,,,w,1,0.550843954086,None,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.51376914978,0.00102496147156,0.550843954086,1,w,504.608791113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_17_1555,60.0997864993,LearningTask,,989,
